dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
3,50,fixed_rank,A_G2_fixed_time,0.5936643461572759,0.6977211792339583,0.10405683307668234,0.10405683307668234,,0.18452882346111185,1.0,0.7233396961866579,1,1,3
3,50,fixed_rank,A_G2_minus_G1_fixed_time,0.007327438497154684,0.038910159794464376,0.03158272129730969,0.03158272129730969,,0.03823933571162625,1.0,0.14989544157504753,1,1,3
3,50,fixed_rank,A_G2_minus_G1_time_average,0.006129728267150012,0.026404511493254235,0.020274783226104223,0.020274783226104223,,,,,1,0,3
3,50,fixed_rank,A_G2_time_average,0.4966266349765316,0.5442941018940555,0.04766746691752388,0.04766746691752388,,,,,1,0,3
3,50,fixed_rank,A_entry,0.6537896525760432,0.6387477119984847,-0.015041940577558477,0.015041940577558477,,0.208426043528942,1.0,0.8170150775138079,1,1,3
3,50,fixed_rank,A_fixed_time_mean,0.5900006269086986,0.6782660993367261,0.08826547242802751,0.08826547242802751,,0.17734740297660512,1.0,0.6951890451717152,1,1,3
3,50,fixed_rank,A_full_mean,0.4935617708429566,0.5310918461474281,0.0375300753044715,0.0375300753044715,,,,,1,0,3
3,50,fixed_rank,B_G1_fixed_time,0.601466687296456,0.5016790341464287,-0.09978765315002736,0.09978765315002736,,0.1987273394203235,1.0,0.778996856014602,1,1,3
3,50,fixed_rank,B_G1_time_average,0.5289619009261681,0.5452205496471823,0.016258648721014124,0.016258648721014124,,,,,1,0,3
3,50,fixed_rank,B_G2_fixed_time,0.5945490071068156,0.5849980785424675,-0.009550928564348027,0.009550928564348027,,0.23020757199564484,1.0,0.9023971001597508,1,1,3
3,50,fixed_rank,B_G2_minus_G1_fixed_time,-0.006917680189640472,0.08331904439603874,0.09023672458567922,0.09023672458567922,,0.09809612664053907,1.0,0.3845297504766734,1,1,3
3,50,fixed_rank,B_G2_minus_G1_time_average,-0.006083777107522363,-0.09164122570218698,-0.08555744859466462,0.08555744859466462,,,,,1,0,3
3,50,fixed_rank,B_G2_time_average,0.5228781238186456,0.45357932394499534,-0.06929879987365029,0.06929879987365029,,,,,1,0,3
3,50,fixed_rank,B_entry,0.9372396395785438,0.6677132017600148,-0.26952643781852903,0.26952643781852903,,0.42250712431984644,1.0,1.6561974937569723,1,1,3
3,50,fixed_rank,B_fixed_time_mean,0.5980078472016357,0.5433385563444482,-0.054669290857187525,0.054669290857187525,,0.2093760451862033,1.0,0.8207390155807789,1,1,3
3,50,fixed_rank,B_full_mean,0.5259200123724069,0.49939993679608874,-0.02652007557631819,0.02652007557631819,,,,,1,0,3
3,50,selected_rank,A_G1_fixed_time,0.6191505024032341,0.0,-0.6191505024032341,0.620180553552229,0.0,,,,3,0,3
3,50,selected_rank,A_G1_time_average,0.4988988457884429,0.0,-0.4988988457884429,0.49894068781015194,0.0,,,,3,0,3
3,50,selected_rank,A_G2_fixed_time,0.6285658744563384,0.0,-0.6285658744563384,0.6299278161136308,0.0,,,,3,0,3
3,50,selected_rank,A_G2_minus_G1_fixed_time,0.009415372053104326,0.0,-0.009415372053104326,0.011299606669216693,0.0,,,,3,0,3
3,50,selected_rank,A_G2_minus_G1_time_average,0.007349538777287036,0.0,-0.007349538777287036,0.008621229275317515,0.0,,,,3,0,3
3,50,selected_rank,A_G2_time_average,0.5062483845657298,0.0,-0.5062483845657298,0.506297600327024,0.0,,,,3,0,3
3,50,selected_rank,A_entry,0.6376944934813813,0.0,-0.6376944934813813,0.6386179337979425,0.0,,,,3,0,3
3,50,selected_rank,A_fixed_time_mean,0.6238581884297862,0.0,-0.6238581884297862,0.6250476509685473,0.0,,,,3,0,3
3,50,selected_rank,A_full_mean,0.5025736151770864,0.0,-0.5025736151770864,0.502614120002742,0.0,,,,3,0,3
3,50,selected_rank,B_G1_fixed_time,0.5970453832661103,0.0,-0.5970453832661103,0.5989666247281561,0.0,,,,3,0,3
3,50,selected_rank,B_G1_time_average,0.5592256870511813,0.0,-0.5592256870511813,0.5604313127762005,0.0,,,,3,0,3
3,50,selected_rank,B_G2_fixed_time,0.5393652802097618,0.0,-0.5393652802097618,0.5427039599292269,0.0,,,,3,0,3
